node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_ATM,2022-02-08,1,4,114,654
PDS_ATM,2022-02-11,2,9,114,654
PDS_ATM,2022-02-14,3,13,114,654
PDS_ATM,2022-02-16,4,17,114,654
PDS_ATM,2022-02-21,5,22,114,654
PDS_ATM,2022-02-25,6,26,114,654
PDS_ATM,2022-03-03,8,34,114,654
PDS_ATM,2022-03-04,9,38,114,654
PDS_ATM,2022-03-09,10,42,114,654
PDS_ATM,2022-03-11,13,54,114,654
PDS_ATM,2022-03-16,14,58,114,654
PDS_ATM,2022-07-08,17,70,114,654
PDS_ATM,2022-07-09,18,77,114,654
PDS_ATM,2022-07-11,23,97,114,654
PDS_ATM,2022-07-13,24,101,114,654
PDS_ATM,2022-10-20,27,111,114,654
PDS_ATM,2022-10-24,28,115,114,654
PDS_ATM,2022-10-25,31,129,114,654
PDS_ATM,2022-10-28,32,137,114,654
PDS_ATM,2023-01-06,32,141,114,654
PDS_ATM,2023-03-01,33,143,114,654
PDS_ATM,2023-05-09,34,148,114,654
PDS_ATM,2023-08-31,35,155,114,654
PDS_ATM,2023-09-27,36,160,114,654
PDS_ATM,2023-10-04,39,173,114,654
PDS_ATM,2023-12-12,42,186,114,654
PDS_ATM,2023-12-13,43,193,114,654
PDS_ATM,2023-12-15,50,220,114,654
PDS_ATM,2023-12-19,51,224,114,654
PDS_ATM,2024-01-30,52,232,114,654
PDS_ATM,2024-03-07,53,236,114,654
PDS_ATM,2024-03-12,54,242,114,654
PDS_ATM,2024-04-01,62,269,114,654
PDS_ATM,2024-04-02,64,284,114,654
PDS_ATM,2024-04-05,65,289,114,654
PDS_ATM,2024-04-22,66,293,114,654
PDS_ATM,2024-04-30,68,303,114,654
PDS_ATM,2024-10-22,70,314,114,654
PDS_ATM,2024-10-23,71,318,114,654
PDS_ATM,2024-10-25,72,324,114,654
PDS_ATM,2024-10-31,74,338,114,654
PDS_ATM,2024-11-04,74,343,114,654
PDS_ATM,2024-11-05,75,347,114,654
PDS_ATM,2024-11-14,76,352,114,654
PDS_ATM,2024-11-15,76,353,114,654
PDS_ATM,2024-12-06,78,368,114,654
PDS_ATM,2024-12-16,79,379,114,654
PDS_ATM,2025-03-27,80,383,114,654
PDS_ATM,2025-04-07,80,384,114,654
PDS_ATM,2025-04-08,81,400,114,654
PDS_ATM,2025-05-01,82,404,114,654
PDS_ATM,2025-05-09,82,406,114,654
PDS_ATM,2025-05-10,83,409,114,654
PDS_ATM,2025-05-14,84,414,114,654
PDS_ATM,2025-05-28,85,419,114,654
PDS_ATM,2025-05-29,86,427,114,654
PDS_ATM,2026-06-02,88,437,114,654
PDS_ATM,2026-06-04,88,441,114,654
PDS_ATM,2026-06-05,89,444,114,654
PDS_ATM,2026-06-10,90,448,114,654
PDS_ATM,2026-06-17,91,451,114,654
PDS_ATM,2026-06-18,91,453,114,654
PDS_ATM,2026-06-20,91,454,114,654
PDS_ATM,2026-06-22,91,455,114,654
PDS_ATM,2026-06-24,91,456,114,654
PDS_ATM,2026-06-25,93,464,114,654
PDS_ATM,2026-06-26,93,465,114,654
