node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_ATM,2022-02-14,1,4,91,485
PDS_ATM,2022-02-16,2,8,91,485
PDS_ATM,2022-02-21,3,13,91,485
PDS_ATM,2022-02-25,4,17,91,485
PDS_ATM,2022-03-03,6,25,91,485
PDS_ATM,2022-03-04,7,29,91,485
PDS_ATM,2022-03-09,8,33,91,485
PDS_ATM,2022-03-11,11,45,91,485
PDS_ATM,2022-03-16,12,49,91,485
PDS_ATM,2022-07-08,15,61,91,485
PDS_ATM,2022-07-09,15,65,91,485
PDS_ATM,2022-07-11,17,73,91,485
PDS_ATM,2022-07-13,18,77,91,485
PDS_ATM,2022-10-20,19,80,91,485
PDS_ATM,2022-10-24,20,84,91,485
PDS_ATM,2022-10-25,23,98,91,485
PDS_ATM,2022-10-28,23,106,91,485
PDS_ATM,2023-03-01,24,108,91,485
PDS_ATM,2023-08-31,24,109,91,485
PDS_ATM,2023-10-04,27,122,91,485
PDS_ATM,2023-12-12,30,135,91,485
PDS_ATM,2023-12-15,37,162,91,485
PDS_ATM,2023-12-19,38,166,91,485
PDS_ATM,2024-01-30,39,174,91,485
PDS_ATM,2024-03-07,40,178,91,485
PDS_ATM,2024-03-12,41,184,91,485
PDS_ATM,2024-04-01,49,211,91,485
PDS_ATM,2024-04-02,51,221,91,485
PDS_ATM,2024-04-05,52,226,91,485
PDS_ATM,2024-04-22,53,230,91,485
PDS_ATM,2024-04-30,54,233,91,485
PDS_ATM,2024-10-22,56,244,91,485
PDS_ATM,2024-10-23,57,248,91,485
PDS_ATM,2024-10-25,58,254,91,485
PDS_ATM,2024-10-31,60,268,91,485
PDS_ATM,2024-11-05,61,272,91,485
PDS_ATM,2024-11-14,62,277,91,485
PDS_ATM,2024-11-15,62,278,91,485
PDS_ATM,2024-12-06,64,288,91,485
PDS_ATM,2024-12-16,65,299,91,485
PDS_ATM,2025-03-27,66,303,91,485
PDS_ATM,2025-04-08,67,315,91,485
PDS_ATM,2025-05-01,68,319,91,485
PDS_ATM,2025-05-09,68,321,91,485
PDS_ATM,2025-05-10,69,324,91,485
PDS_ATM,2025-05-14,70,329,91,485
PDS_ATM,2025-05-28,71,334,91,485
PDS_ATM,2025-05-29,71,339,91,485
PDS_ATM,2026-06-02,73,349,91,485
PDS_ATM,2026-06-04,73,353,91,485
PDS_ATM,2026-06-05,74,356,91,485
PDS_ATM,2026-06-10,75,360,91,485
PDS_ATM,2026-06-17,76,363,91,485
PDS_ATM,2026-06-18,76,365,91,485
PDS_ATM,2026-06-20,76,366,91,485
PDS_ATM,2026-06-22,76,367,91,485
PDS_ATM,2026-06-24,76,368,91,485
PDS_ATM,2026-06-25,78,376,91,485
PDS_ATM,2026-06-26,78,377,91,485
PDS_ATM,2026-06-28,78,378,91,485
PDS_ATM,2026-06-30,78,379,91,485
PDS_ATM,2026-07-02,79,384,91,485
PDS_ATM,2026-07-06,80,388,91,485
PDS_ATM,2026-07-07,83,405,91,485
PDS_ATM,2026-07-08,84,412,91,485
PDS_ENG,2025-03-05,0,2,4,34
PDS_ENG,2025-07-16,2,7,4,34
PDS_ENG,2025-07-19,2,16,4,34
PDS_ENG,2026-07-07,3,18,4,34
PDS_ENG,2026-07-13,3,31,4,34
PDS_GEO,2022-07-27,6,24,253,1047
PDS_GEO,2022-11-01,7,24,253,1047
PDS_GEO,2023-05-10,7,26,253,1047
PDS_GEO,2023-09-27,7,29,253,1047
PDS_GEO,2023-09-29,7,35,253,1047
PDS_GEO,2024-02-05,7,37,253,1047
PDS_GEO,2024-02-10,7,38,253,1047
PDS_GEO,2024-10-29,17,72,253,1047
PDS_GEO,2024-10-30,42,125,253,1047
PDS_GEO,2024-10-31,47,145,253,1047
PDS_GEO,2024-11-01,49,155,253,1047
PDS_GEO,2024-11-04,57,183,253,1047
