date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
2022-02-08,1,4,5673,33364
2022-02-11,2,9,5673,33364
2022-02-14,3,13,5673,33364
2022-02-16,4,17,5673,33364
2022-02-21,5,22,5673,33364
2022-02-25,6,26,5673,33364
2022-03-03,8,34,5673,33364
2022-03-04,9,38,5673,33364
2022-03-09,10,42,5673,33364
2022-03-11,13,54,5673,33364
2022-03-16,14,58,5673,33364
2022-05-31,15,60,5673,33364
2022-06-28,17,69,5673,33364
2022-07-08,20,81,5673,33364
2022-07-09,21,88,5673,33364
2022-07-11,26,108,5673,33364
2022-07-13,27,112,5673,33364
2022-07-20,120,300,5673,33364
2022-07-22,122,315,5673,33364
2022-07-23,123,321,5673,33364
2022-07-27,181,618,5673,33364
2022-08-07,189,618,5673,33364
2022-08-08,195,643,5673,33364
2022-08-09,204,643,5673,33364
2022-08-10,207,725,5673,33364
2022-08-12,207,745,5673,33364
2022-08-15,211,766,5673,33364
2022-08-16,212,768,5673,33364
2022-08-17,212,770,5673,33364
2022-08-18,213,773,5673,33364
2022-08-23,216,781,5673,33364
2022-09-15,218,788,5673,33364
2022-10-20,221,798,5673,33364
2022-10-24,222,802,5673,33364
2022-10-25,225,816,5673,33364
2022-10-28,226,824,5673,33364
2022-10-31,227,829,5673,33364
2022-11-01,233,872,5673,33364
2022-11-02,236,886,5673,33364
2022-11-07,269,934,5673,33364
2022-11-08,272,954,5673,33364
2022-12-08,272,957,5673,33364
2022-12-12,273,958,5673,33364
2023-01-06,273,962,5673,33364
2023-01-12,277,969,5673,33364
2023-01-25,278,977,5673,33364
2023-03-01,279,979,5673,33364
2023-03-27,280,984,5673,33364
2023-04-21,281,1001,5673,33364
2023-04-24,283,1033,5673,33364
2023-05-08,283,1037,5673,33364
2023-05-09,284,1042,5673,33364
2023-05-10,285,1048,5673,33364
2023-05-14,285,1049,5673,33364
2023-05-15,285,1051,5673,33364
2023-05-18,286,1052,5673,33364
2023-06-02,287,1062,5673,33364
2023-06-08,287,1070,5673,33364
2023-06-09,287,1087,5673,33364
2023-06-10,287,1093,5673,33364
2023-06-11,287,1096,5673,33364
2023-06-12,287,1100,5673,33364
2023-06-13,287,1103,5673,33364
2023-06-14,287,1104,5673,33364
2023-06-15,287,1108,5673,33364
2023-06-16,287,1111,5673,33364
2023-06-17,287,1112,5673,33364
2023-06-18,287,1114,5673,33364
2023-06-20,288,1120,5673,33364
2023-06-22,291,1131,5673,33364
2023-06-23,306,1133,5673,33364
2023-07-07,311,1140,5673,33364
2023-07-14,315,1146,5673,33364
2023-07-17,315,1156,5673,33364
2023-07-21,315,1161,5673,33364
2023-07-26,316,1175,5673,33364
2023-07-31,318,1176,5673,33364
2023-08-08,319,1189,5673,33364
2023-08-16,321,1197,5673,33364
2023-08-23,321,1530,5673,33364
2023-08-24,421,1588,5673,33364
2023-08-25,1032,4032,5673,33364
2023-08-31,1033,4039,5673,33364
2023-09-06,1110,4201,5673,33364
2023-09-07,1111,4201,5673,33364
2023-09-15,1111,4208,5673,33364
2023-09-18,1111,4220,5673,33364
2023-09-20,1350,4769,5673,33364
2023-09-21,1397,4877,5673,33364
2023-09-22,1397,5298,5673,33364
2023-09-23,1407,5688,5673,33364
2023-09-24,1407,6026,5673,33364
2023-09-25,1828,8914,5673,33364
2023-09-26,1832,9005,5673,33364
2023-09-27,2229,10208,5673,33364
2023-09-28,2640,10221,5673,33364
2023-09-29,2640,10228,5673,33364
2023-10-02,2640,10579,5673,33364
2023-10-04,2643,10592,5673,33364
2023-10-05,2643,10594,5673,33364
2023-10-15,2643,11004,5673,33364
2023-10-27,2643,11024,5673,33364
2023-10-28,2643,11033,5673,33364
2023-10-30,2643,11403,5673,33364
2023-11-06,2643,11407,5673,33364
2023-11-14,2643,11740,5673,33364
2023-11-15,2643,13237,5673,33364
2023-11-29,2643,13257,5673,33364
2023-11-30,2643,13260,5673,33364
2023-12-04,2643,13262,5673,33364
2023-12-12,2646,13275,5673,33364
2023-12-13,2647,13282,5673,33364
2023-12-15,2654,13309,5673,33364
2023-12-19,2656,13315,5673,33364
2024-01-03,2657,13347,5673,33364
2024-01-08,2657,13350,5673,33364
2024-01-12,2658,13354,5673,33364
2024-01-17,2659,13354,5673,33364
2024-01-22,2661,13360,5673,33364
2024-01-23,2661,13368,5673,33364
2024-01-24,2662,13373,5673,33364
2024-01-25,2662,13374,5673,33364
2024-01-28,2662,13376,5673,33364
2024-01-30,2663,13384,5673,33364
2024-02-01,2664,13385,5673,33364
2024-02-05,2664,13387,5673,33364
2024-02-10,2664,13388,5673,33364
2024-02-16,2664,13392,5673,33364
2024-02-21,2665,13401,5673,33364
2024-02-22,2665,13405,5673,33364
2024-02-28,2666,13414,5673,33364
2024-02-29,2666,13420,5673,33364
2024-03-07,2667,13427,5673,33364
2024-03-12,2668,13433,5673,33364
2024-03-13,2672,13490,5673,33364
2024-03-14,2672,13493,5673,33364
2024-03-16,2672,13494,5673,33364
2024-03-18,2672,13496,5673,33364
2024-03-19,2672,13500,5673,33364
2024-03-20,2673,13502,5673,33364
2024-03-27,2673,13505,5673,33364
2024-03-29,2673,13539,5673,33364
2024-04-01,2681,13566,5673,33364
2024-04-02,2683,13581,5673,33364
2024-04-05,2684,13589,5673,33364
2024-04-22,2685,13593,5673,33364
2024-04-23,2688,13616,5673,33364
2024-04-30,2690,13626,5673,33364
2024-05-01,2690,13631,5673,33364
2024-05-13,2690,13632,5673,33364
2024-09-16,2691,13641,5673,33364
2024-10-22,2693,13652,5673,33364
2024-10-23,2694,13656,5673,33364
2024-10-25,2695,13662,5673,33364
2024-10-27,2695,13664,5673,33364
2024-10-29,2706,13702,5673,33364
2024-10-30,2731,13755,5673,33364
2024-10-31,2738,13790,5673,33364
2024-11-01,2740,13800,5673,33364
2024-11-04,2748,13843,5673,33364
2024-11-05,2752,13861,5673,33364
2024-11-06,2765,13921,5673,33364
2024-11-07,2769,13947,5673,33364
2024-11-08,2771,13959,5673,33364
2024-11-10,2775,13999,5673,33364
2024-11-11,2780,14018,5673,33364
2024-11-12,2781,14019,5673,33364
2024-11-13,2784,14035,5673,33364
2024-11-14,2790,14085,5673,33364
2024-11-15,2796,14111,5673,33364
2024-11-20,2798,14118,5673,33364
2024-11-25,2813,14187,5673,33364
2024-11-26,2857,14380,5673,33364
2024-11-27,2860,14404,5673,33364
2024-11-28,2876,14483,5673,33364
2024-11-29,2880,14504,5673,33364
2024-12-02,2882,14520,5673,33364
2024-12-03,2895,14593,5673,33364
2024-12-04,2897,14598,5673,33364
2024-12-05,2903,14617,5673,33364
2024-12-06,2914,14684,5673,33364
2024-12-07,2920,14716,5673,33364
2024-12-10,2922,14733,5673,33364
2024-12-11,2922,14737,5673,33364
2024-12-12,2922,14738,5673,33364
2024-12-13,2930,14764,5673,33364
2024-12-14,2935,14782,5673,33364
2024-12-15,2937,14791,5673,33364
2024-12-16,2945,14810,5673,33364
2024-12-17,2947,14821,5673,33364
2024-12-18,2954,14843,5673,33364
2024-12-19,2999,14959,5673,33364
2024-12-20,2999,14961,5673,33364
2024-12-22,2999,14964,5673,33364
2024-12-23,2999,14965,5673,33364
2024-12-27,2999,14966,5673,33364
2024-12-28,2999,14967,5673,33364
2024-12-29,2999,14970,5673,33364
2024-12-31,2999,14971,5673,33364
2025-01-03,2999,14977,5673,33364
2025-01-06,2999,14986,5673,33364
2025-01-07,3000,15007,5673,33364
2025-01-09,3001,15024,5673,33364
2025-01-10,3005,15049,5673,33364
2025-01-11,3005,15051,5673,33364
2025-01-14,3005,15053,5673,33364
2025-01-15,3006,15061,5673,33364
2025-01-16,3011,15102,5673,33364
2025-01-17,3011,15106,5673,33364
2025-01-18,3012,15116,5673,33364
2025-01-21,3016,15139,5673,33364
2025-01-22,3018,15158,5673,33364
2025-01-23,3018,15162,5673,33364
2025-01-24,3018,15166,5673,33364
2025-01-25,3018,15168,5673,33364
2025-01-27,3018,15175,5673,33364
2025-01-28,3020,15199,5673,33364
2025-01-29,3079,15345,5673,33364
2025-01-30,3080,15348,5673,33364
2025-01-31,3080,15353,5673,33364
2025-02-02,3080,15354,5673,33364
2025-02-04,3080,15355,5673,33364
2025-02-05,3082,15365,5673,33364
2025-02-06,3087,15390,5673,33364
2025-02-07,3088,15401,5673,33364
2025-02-08,3089,15407,5673,33364
2025-02-09,3089,15411,5673,33364
2025-02-10,3094,15432,5673,33364
2025-02-11,3102,15451,5673,33364
2025-02-12,3103,15454,5673,33364
2025-02-13,3106,15461,5673,33364
2025-02-14,3107,15464,5673,33364
2025-02-20,3108,15468,5673,33364
2025-02-21,3110,15474,5673,33364
2025-02-22,3110,15476,5673,33364
2025-02-24,3110,15480,5673,33364
2025-02-25,3111,15484,5673,33364
2025-02-26,3112,15487,5673,33364
2025-02-27,3115,15506,5673,33364
2025-02-28,3117,15515,5673,33364
2025-03-01,3120,15528,5673,33364
2025-03-03,3120,15529,5673,33364
2025-03-05,3122,15535,5673,33364
2025-03-06,3123,15536,5673,33364
2025-03-07,3123,15537,5673,33364
2025-03-11,3124,15540,5673,33364
2025-03-13,3125,15543,5673,33364
2025-03-14,3128,15552,5673,33364
2025-03-15,3128,15556,5673,33364
2025-03-16,3128,15563,5673,33364
2025-03-18,3129,15589,5673,33364
2025-03-19,3129,15600,5673,33364
2025-03-20,3129,15606,5673,33364
2025-03-22,3134,15644,5673,33364
2025-03-25,3134,15645,5673,33364
