date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
2022-02-14,1,4,959,5951
2022-02-16,2,8,959,5951
2022-02-21,3,13,959,5951
2022-02-25,4,17,959,5951
2022-03-03,6,25,959,5951
2022-03-04,7,29,959,5951
2022-03-09,8,33,959,5951
2022-03-11,11,45,959,5951
2022-03-16,12,49,959,5951
2022-06-28,13,57,959,5951
2022-07-08,16,69,959,5951
2022-07-09,16,73,959,5951
2022-07-11,18,81,959,5951
2022-07-13,19,85,959,5951
2022-07-20,95,239,959,5951
2022-07-22,97,250,959,5951
2022-07-23,98,256,959,5951
2022-07-27,151,527,959,5951
2022-08-07,159,527,959,5951
2022-08-08,160,541,959,5951
2022-08-12,160,561,959,5951
2022-08-15,161,572,959,5951
2022-08-16,162,574,959,5951
2022-08-17,162,576,959,5951
2022-08-18,163,579,959,5951
2022-08-23,164,582,959,5951
2022-09-15,166,589,959,5951
2022-10-20,167,592,959,5951
2022-10-24,168,596,959,5951
2022-10-25,171,610,959,5951
2022-10-28,171,618,959,5951
2022-11-01,172,618,959,5951
2022-11-07,184,645,959,5951
2022-11-08,186,653,959,5951
2022-12-12,187,654,959,5951
2023-01-12,188,661,959,5951
2023-03-01,189,663,959,5951
2023-03-27,189,665,959,5951
2023-05-10,190,668,959,5951
2023-05-18,191,669,959,5951
2023-06-02,192,676,959,5951
2023-06-22,194,684,959,5951
2023-07-07,196,691,959,5951
2023-07-14,197,697,959,5951
2023-08-16,199,705,959,5951
2023-08-31,199,706,959,5951
2023-09-06,200,709,959,5951
2023-09-20,208,752,959,5951
2023-09-21,210,761,959,5951
2023-09-26,211,764,959,5951
2023-09-27,211,767,959,5951
2023-09-29,211,773,959,5951
2023-10-04,214,786,959,5951
2023-12-12,217,799,959,5951
2023-12-15,224,826,959,5951
2023-12-19,225,830,959,5951
2024-01-12,226,831,959,5951
2024-01-22,226,833,959,5951
2024-01-24,226,836,959,5951
2024-01-30,227,844,959,5951
2024-02-01,228,845,959,5951
2024-02-05,228,847,959,5951
2024-02-10,228,848,959,5951
2024-02-16,228,852,959,5951
2024-02-21,228,859,959,5951
2024-02-22,228,863,959,5951
2024-02-28,229,869,959,5951
2024-02-29,229,875,959,5951
2024-03-07,230,879,959,5951
2024-03-12,231,885,959,5951
2024-03-13,233,901,959,5951
2024-04-01,241,928,959,5951
2024-04-02,243,938,959,5951
2024-04-05,244,943,959,5951
2024-04-22,245,947,959,5951
2024-04-30,246,950,959,5951
2024-10-22,248,961,959,5951
2024-10-23,249,965,959,5951
2024-10-25,250,971,959,5951
2024-10-29,260,1005,959,5951
2024-10-30,285,1058,959,5951
2024-10-31,292,1092,959,5951
2024-11-01,294,1102,959,5951
2024-11-04,302,1130,959,5951
2024-11-05,306,1144,959,5951
2024-11-06,317,1193,959,5951
2024-11-07,321,1209,959,5951
2024-11-08,322,1218,959,5951
2024-11-10,326,1226,959,5951
2024-11-11,331,1235,959,5951
2024-11-12,332,1236,959,5951
2024-11-13,334,1247,959,5951
2024-11-14,338,1261,959,5951
2024-11-15,343,1281,959,5951
2024-11-20,344,1286,959,5951
2024-11-25,359,1351,959,5951
2024-11-26,403,1477,959,5951
2024-11-27,405,1496,959,5951
2024-11-28,417,1560,959,5951
2024-11-29,421,1581,959,5951
2024-12-02,423,1597,959,5951
2024-12-03,431,1625,959,5951
2024-12-04,432,1628,959,5951
2024-12-05,433,1635,959,5951
2024-12-06,443,1687,959,5951
2024-12-07,448,1697,959,5951
2024-12-10,449,1706,959,5951
2024-12-11,449,1710,959,5951
2024-12-13,454,1714,959,5951
2024-12-14,455,1720,959,5951
2024-12-15,455,1722,959,5951
2024-12-16,456,1733,959,5951
2024-12-17,457,1735,959,5951
2024-12-19,460,1745,959,5951
2025-01-07,461,1749,959,5951
2025-01-10,465,1774,959,5951
2025-01-15,466,1780,959,5951
2025-01-16,470,1814,959,5951
2025-01-21,474,1836,959,5951
2025-01-28,476,1848,959,5951
2025-01-29,476,1850,959,5951
2025-01-30,477,1851,959,5951
2025-02-06,478,1867,959,5951
2025-02-07,478,1874,959,5951
2025-02-08,478,1879,959,5951
2025-02-09,478,1882,959,5951
2025-02-10,480,1900,959,5951
2025-02-11,484,1913,959,5951
2025-02-12,485,1916,959,5951
2025-02-13,486,1920,959,5951
2025-02-20,487,1924,959,5951
2025-02-21,487,1926,959,5951
2025-02-22,487,1928,959,5951
2025-02-24,487,1929,959,5951
2025-02-27,489,1943,959,5951
2025-02-28,489,1945,959,5951
2025-03-01,492,1957,959,5951
2025-03-05,492,1959,959,5951
2025-03-06,492,1960,959,5951
2025-03-11,493,1963,959,5951
2025-03-13,494,1966,959,5951
2025-03-14,496,1968,959,5951
2025-03-18,497,1970,959,5951
2025-03-19,497,1971,959,5951
2025-03-22,502,2006,959,5951
2025-03-27,503,2010,959,5951
2025-04-03,503,2011,959,5951
2025-04-08,504,2023,959,5951
2025-04-16,505,2025,959,5951
2025-04-18,510,2031,959,5951
2025-04-26,511,2033,959,5951
2025-04-29,512,2037,959,5951
2025-04-30,512,2039,959,5951
2025-05-01,513,2043,959,5951
2025-05-05,513,2048,959,5951
2025-05-06,515,2050,959,5951
2025-05-07,515,2053,959,5951
2025-05-09,515,2056,959,5951
2025-05-10,516,2059,959,5951
2025-05-14,517,2064,959,5951
2025-05-19,517,2065,959,5951
2025-05-22,517,2066,959,5951
2025-05-28,518,2071,959,5951
2025-05-29,518,2076,959,5951
2025-06-09,519,2083,959,5951
2025-06-10,519,2090,959,5951
2025-06-12,520,2090,959,5951
2025-06-16,528,2114,959,5951
2025-06-20,529,2115,959,5951
2025-06-23,529,2116,959,5951
2025-06-26,530,2120,959,5951
2025-06-27,530,2124,959,5951
2025-06-30,530,2126,959,5951
2025-07-01,530,2127,959,5951
2025-07-02,530,2128,959,5951
2025-07-03,531,2130,959,5951
2025-07-08,533,2137,959,5951
2025-07-14,533,2138,959,5951
2025-07-15,534,2140,959,5951
2025-07-16,536,2145,959,5951
2025-07-19,536,2154,959,5951
2025-07-22,537,2154,959,5951
2025-07-23,538,2159,959,5951
2025-07-24,538,2161,959,5951
2025-07-25,539,2171,959,5951
2025-07-29,540,2175,959,5951
2025-08-08,540,2177,959,5951
2025-09-08,541,2178,959,5951
2025-09-10,542,2179,959,5951
2025-09-16,543,2181,959,5951
2025-09-30,544,2183,959,5951
2025-10-07,555,2209,959,5951
2025-10-09,555,2212,959,5951
