date,missing_bundles_total,missing_bundles_latest,missing_bundles_superseded,missing_collections_total,missing_collections_latest,missing_collections_superseded,staged_bundles_total,staged_collections_total
2025-11-21,397,197,200,2000,1353,647,961,2000
2026-01-28,420,198,222,2000,1302,698,953,2000
2026-03-03,420,198,222,2000,1302,698,953,2000
2026-03-04,420,198,222,4231,2566,1665,952,5540
2026-03-18,386,165,221,4233,2512,1721,942,4877
2026-03-20,392,153,239,4286,2463,1823,932,4881
2026-03-24,394,153,241,4296,2463,1833,931,4605
2026-03-24,396,153,243,4311,2475,1836,931,4605
2026-03-24,396,100,296,4311,2086,2225,931,4605
2026-03-24,396,100,296,4311,2086,2225,931,4605
2026-03-24,395,99,296,4311,2086,2225,931,4605
2026-03-24,395,99,296,4311,2086,2225,931,4605
