node,lidvid,product_class,harvest_date
,urn:esa:psa:bc::1.0,Product_Bundle,
PSA,urn:esa:psa:bc::1.0,Product_Bundle,2026-05-22T05:01:24.930569Z
PSA,urn:esa:psa:bc::10.0,Product_Bundle,2023-08-24T08:37:12.897487Z
PSA,urn:esa:psa:bc::10.1,Product_Bundle,2023-08-24T08:37:12.931500Z
PSA,urn:esa:psa:bc::10.2,Product_Bundle,2023-08-24T08:37:12.983165Z
PSA,urn:esa:psa:bc::10.3,Product_Bundle,2023-08-24T08:37:12.996525Z
PSA,urn:esa:psa:bc::11.0,Product_Bundle,2023-08-24T08:37:13.010331Z
PSA,urn:esa:psa:bc::11.1,Product_Bundle,2023-08-24T08:37:13.023800Z
PSA,urn:esa:psa:bc::11.2,Product_Bundle,2023-08-24T08:37:13.047018Z
PSA,urn:esa:psa:bc::11.3,Product_Bundle,2023-08-24T08:37:13.062332Z
PSA,urn:esa:psa:bc::11.4,Product_Bundle,2023-08-24T08:37:13.099767Z
PSA,urn:esa:psa:bc::12.0,Product_Bundle,2023-08-24T08:37:13.203577Z
PSA,urn:esa:psa:bc::12.1,Product_Bundle,2023-08-24T08:37:13.250943Z
PSA,urn:esa:psa:bc::12.2,Product_Bundle,2023-08-24T08:37:13.280419Z
PSA,urn:esa:psa:bc::12.3,Product_Bundle,2023-08-24T08:37:13.297614Z
PSA,urn:esa:psa:bc::12.4,Product_Bundle,2023-08-24T08:37:13.312730Z
PSA,urn:esa:psa:bc::13.0,Product_Bundle,2023-08-24T08:37:13.329921Z
PSA,urn:esa:psa:bc::13.1,Product_Bundle,2023-08-24T08:37:13.348415Z
PSA,urn:esa:psa:bc::13.2,Product_Bundle,2023-08-24T08:37:13.366822Z
PSA,urn:esa:psa:bc::13.3,Product_Bundle,2023-08-24T08:37:13.387821Z
PSA,urn:esa:psa:bc::14.0,Product_Bundle,2023-08-24T08:37:13.421201Z
PSA,urn:esa:psa:bc::14.1,Product_Bundle,2023-08-24T08:37:13.438462Z
PSA,urn:esa:psa:bc::14.2,Product_Bundle,2023-08-24T08:37:13.454591Z
PSA,urn:esa:psa:bc::14.3,Product_Bundle,2023-08-24T08:37:13.472192Z
PSA,urn:esa:psa:bc::15.0,Product_Bundle,2023-08-24T08:37:13.547776Z
PSA,urn:esa:psa:bc::15.1,Product_Bundle,2023-08-24T08:37:13.631451Z
PSA,urn:esa:psa:bc::15.2,Product_Bundle,2023-08-24T08:37:13.683734Z
PSA,urn:esa:psa:bc::15.3,Product_Bundle,2023-08-24T08:37:13.709480Z
PSA,urn:esa:psa:bc::15.4,Product_Bundle,2023-08-24T08:37:13.743771Z
PSA,urn:esa:psa:bc::16.0,Product_Bundle,2023-08-24T08:37:13.797780Z
PSA,urn:esa:psa:bc::16.1,Product_Bundle,2023-08-24T08:37:13.818025Z
PSA,urn:esa:psa:bc::16.2,Product_Bundle,2023-08-24T08:37:13.836542Z
PSA,urn:esa:psa:bc::17.0,Product_Bundle,2023-08-24T08:37:13.913693Z
PSA,urn:esa:psa:bc::17.1,Product_Bundle,2023-08-24T08:37:13.931134Z
PSA,urn:esa:psa:bc::17.2,Product_Bundle,2023-08-24T08:37:13.950921Z
PSA,urn:esa:psa:bc::17.3,Product_Bundle,2023-08-24T08:37:14.003424Z
PSA,urn:esa:psa:bc::17.4,Product_Bundle,2023-08-24T08:37:14.045678Z
PSA,urn:esa:psa:bc::18.0,Product_Bundle,2023-08-24T08:37:17.123860Z
PSA,urn:esa:psa:bc::18.1,Product_Bundle,2023-08-24T08:37:17.161589Z
PSA,urn:esa:psa:bc::18.2,Product_Bundle,2023-08-24T08:37:17.200169Z
PSA,urn:esa:psa:bc::18.3,Product_Bundle,2023-08-24T08:37:17.235256Z
PSA,urn:esa:psa:bc::19.0,Product_Bundle,2023-08-24T08:37:17.251349Z
PSA,urn:esa:psa:bc::19.1,Product_Bundle,2023-08-24T08:37:17.269707Z
PSA,urn:esa:psa:bc::19.2,Product_Bundle,2023-08-24T08:37:17.307717Z
PSA,urn:esa:psa:bc::19.3,Product_Bundle,2023-08-24T08:37:17.374821Z
PSA,urn:esa:psa:bc::19.4,Product_Bundle,2023-08-24T08:37:17.416151Z
PSA,urn:esa:psa:bc::2.0,Product_Bundle,2023-08-24T08:37:07.802967Z
PSA,urn:esa:psa:bc::2.1,Product_Bundle,2023-08-24T08:37:09.031801Z
PSA,urn:esa:psa:bc::20.0,Product_Bundle,2023-08-24T08:37:17.452181Z
PSA,urn:esa:psa:bc::20.1,Product_Bundle,2023-08-24T08:37:17.489101Z
PSA,urn:esa:psa:bc::20.2,Product_Bundle,2023-08-24T08:37:17.529159Z
PSA,urn:esa:psa:bc::20.3,Product_Bundle,2023-08-24T08:37:17.567126Z
PSA,urn:esa:psa:bc::20.4,Product_Bundle,2023-08-24T08:37:17.603506Z
PSA,urn:esa:psa:bc::21.0,Product_Bundle,2023-08-24T08:37:17.642777Z
PSA,urn:esa:psa:bc::21.1,Product_Bundle,2023-08-24T08:37:17.679755Z
PSA,urn:esa:psa:bc::21.2,Product_Bundle,2023-08-24T08:37:17.717065Z
PSA,urn:esa:psa:bc::21.3,Product_Bundle,2023-08-24T08:37:17.753689Z
PSA,urn:esa:psa:bc::21.4,Product_Bundle,2023-08-24T08:37:17.782809Z
PSA,urn:esa:psa:bc::22.0,Product_Bundle,2023-08-24T08:37:17.798370Z
PSA,urn:esa:psa:bc::22.1,Product_Bundle,2023-08-24T08:37:17.815545Z
PSA,urn:esa:psa:bc::22.2,Product_Bundle,2023-08-24T08:37:17.838157Z
PSA,urn:esa:psa:bc::22.3,Product_Bundle,2023-08-24T08:37:17.853538Z
PSA,urn:esa:psa:bc::23.0,Product_Bundle,2023-08-24T08:37:17.869833Z
PSA,urn:esa:psa:bc::24.0,Product_Bundle,2023-08-24T08:37:18.044767Z
PSA,urn:esa:psa:bc::24.1,Product_Bundle,2023-08-24T08:37:18.074063Z
PSA,urn:esa:psa:bc::24.2,Product_Bundle,2023-08-24T08:37:18.180036Z
PSA,urn:esa:psa:bc::24.3,Product_Bundle,2023-08-24T08:37:18.254453Z
PSA,urn:esa:psa:bc::25.0,Product_Bundle,2023-08-24T08:37:18.300428Z
PSA,urn:esa:psa:bc::25.1,Product_Bundle,2023-08-24T08:37:18.341300Z
PSA,urn:esa:psa:bc::25.2,Product_Bundle,2023-08-24T08:37:18.361199Z
PSA,urn:esa:psa:bc::25.3,Product_Bundle,2023-08-24T08:37:18.379214Z
PSA,urn:esa:psa:bc::25.4,Product_Bundle,2023-08-24T08:37:18.397205Z
PSA,urn:esa:psa:bc::26.0,Product_Bundle,2023-08-24T08:37:18.419123Z
PSA,urn:esa:psa:bc::26.1,Product_Bundle,2023-08-24T08:37:18.446107Z
PSA,urn:esa:psa:bc::26.2,Product_Bundle,2023-08-24T08:37:18.464235Z
PSA,urn:esa:psa:bc::26.3,Product_Bundle,2023-08-24T08:37:18.471845Z
PSA,urn:esa:psa:bc::26.4,Product_Bundle,2023-08-24T08:37:18.480972Z
PSA,urn:esa:psa:bc::27.0,Product_Bundle,2023-08-24T08:37:18.487843Z
PSA,urn:esa:psa:bc::27.1,Product_Bundle,2023-08-24T08:37:18.496424Z
PSA,urn:esa:psa:bc::27.2,Product_Bundle,2023-08-24T08:37:18.505483Z
PSA,urn:esa:psa:bc::27.3,Product_Bundle,2023-08-24T08:37:18.513556Z
PSA,urn:esa:psa:bc::28.0,Product_Bundle,2023-08-24T08:37:18.520834Z
,urn:esa:psa:bc::28.1,Product_Bundle,
PSA,urn:esa:psa:bc::28.1,Product_Bundle,2025-02-20T06:04:36.054291Z
PSA,urn:esa:psa:bc::3.0,Product_Bundle,2023-08-24T08:37:09.255536Z
PSA,urn:esa:psa:bc::3.1,Product_Bundle,2023-08-24T08:37:09.463894Z
PSA,urn:esa:psa:bc::3.2,Product_Bundle,2023-08-24T08:37:09.660480Z
PSA,urn:esa:psa:bc::3.3,Product_Bundle,2023-08-24T08:37:09.774406Z
PSA,urn:esa:psa:bc::3.4,Product_Bundle,2023-08-24T08:37:09.847530Z
PSA,urn:esa:psa:bc::3.5,Product_Bundle,2023-08-24T08:37:12.498978Z
PSA,urn:esa:psa:bc::3.6,Product_Bundle,2023-08-24T08:37:12.538723Z
PSA,urn:esa:psa:bc::4.0,Product_Bundle,2023-08-24T08:37:12.575396Z
PSA,urn:esa:psa:bc::4.1,Product_Bundle,2023-08-24T08:37:12.612511Z
PSA,urn:esa:psa:bc::4.2,Product_Bundle,2023-08-24T08:37:12.633910Z
PSA,urn:esa:psa:bc::5.0,Product_Bundle,2023-08-24T08:37:12.674622Z
PSA,urn:esa:psa:bc::6.0,Product_Bundle,2023-08-24T08:37:12.710800Z
PSA,urn:esa:psa:bc::6.1,Product_Bundle,2023-08-24T08:37:12.747549Z
PSA,urn:esa:psa:bc::7.0,Product_Bundle,2023-08-24T08:37:12.775744Z
PSA,urn:esa:psa:bc::7.1,Product_Bundle,2023-08-24T08:37:12.790396Z
PSA,urn:esa:psa:bc::7.2,Product_Bundle,2023-08-24T08:37:12.804362Z
PSA,urn:esa:psa:bc::8.0,Product_Bundle,2023-08-24T08:37:12.816547Z
PSA,urn:esa:psa:bc::9.0,Product_Bundle,2023-08-24T08:37:12.829043Z
PSA,urn:esa:psa:bc::9.1,Product_Bundle,2023-08-24T08:37:12.842164Z
PSA,urn:esa:psa:bc::9.2,Product_Bundle,2023-08-24T08:37:12.868606Z
PSA,urn:esa:psa:bc_mpo_berm::1.0,Product_Bundle,2023-09-20T15:18:34.188293Z
PSA,urn:esa:psa:bc_mpo_berm::1.1,Product_Bundle,2023-09-20T16:01:44.439878Z
PSA,urn:esa:psa:bc_mpo_berm::1.10,Product_Bundle,2023-09-20T16:01:55.504080Z
PSA,urn:esa:psa:bc_mpo_berm::1.11,Product_Bundle,2023-09-20T16:01:55.788540Z
PSA,urn:esa:psa:bc_mpo_berm::1.12,Product_Bundle,2023-09-20T16:01:55.926447Z
PSA,urn:esa:psa:bc_mpo_berm::1.13,Product_Bundle,2023-09-20T16:01:56.176255Z
PSA,urn:esa:psa:bc_mpo_berm::1.14,Product_Bundle,2023-09-20T16:01:56.266247Z
PSA,urn:esa:psa:bc_mpo_berm::1.15,Product_Bundle,2023-09-20T16:01:56.360429Z
PSA,urn:esa:psa:bc_mpo_berm::1.16,Product_Bundle,2023-09-20T16:01:56.481442Z
PSA,urn:esa:psa:bc_mpo_berm::1.17,Product_Bundle,2023-09-20T16:01:56.702660Z
PSA,urn:esa:psa:bc_mpo_berm::1.18,Product_Bundle,2023-09-20T16:01:57.036861Z
PSA,urn:esa:psa:bc_mpo_berm::1.19,Product_Bundle,2023-09-20T16:01:57.247480Z
PSA,urn:esa:psa:bc_mpo_berm::1.2,Product_Bundle,2023-09-20T16:01:44.666512Z
PSA,urn:esa:psa:bc_mpo_berm::1.20,Product_Bundle,2023-09-20T16:01:57.489181Z
PSA,urn:esa:psa:bc_mpo_berm::1.21,Product_Bundle,2023-09-20T16:01:57.606310Z
PSA,urn:esa:psa:bc_mpo_berm::1.22,Product_Bundle,2023-09-20T16:01:57.694790Z
PSA,urn:esa:psa:bc_mpo_berm::1.23,Product_Bundle,2023-09-20T16:01:57.827034Z
PSA,urn:esa:psa:bc_mpo_berm::1.24,Product_Bundle,2023-09-20T16:01:58.037281Z
PSA,urn:esa:psa:bc_mpo_berm::1.25,Product_Bundle,2023-09-20T16:01:58.598863Z
PSA,urn:esa:psa:bc_mpo_berm::1.26,Product_Bundle,2023-09-20T16:01:58.707786Z
PSA,urn:esa:psa:bc_mpo_berm::1.27,Product_Bundle,2023-09-20T16:01:58.789197Z
PSA,urn:esa:psa:bc_mpo_berm::1.28,Product_Bundle,2023-09-20T16:01:58.878252Z
PSA,urn:esa:psa:bc_mpo_berm::1.29,Product_Bundle,2023-09-20T16:01:59.156060Z
PSA,urn:esa:psa:bc_mpo_berm::1.3,Product_Bundle,2023-09-20T16:01:44.769938Z
PSA,urn:esa:psa:bc_mpo_berm::1.30,Product_Bundle,2023-09-20T16:01:59.606080Z
PSA,urn:esa:psa:bc_mpo_berm::1.31,Product_Bundle,2023-09-20T16:01:59.976750Z
PSA,urn:esa:psa:bc_mpo_berm::1.32,Product_Bundle,2023-09-20T16:02:00.100605Z
PSA,urn:esa:psa:bc_mpo_berm::1.33,Product_Bundle,2023-09-20T16:02:00.213731Z
PSA,urn:esa:psa:bc_mpo_berm::1.34,Product_Bundle,2023-09-20T16:02:00.294871Z
PSA,urn:esa:psa:bc_mpo_berm::1.35,Product_Bundle,2023-09-20T16:02:00.383543Z
PSA,urn:esa:psa:bc_mpo_berm::1.36,Product_Bundle,2023-09-20T16:02:00.525348Z
PSA,urn:esa:psa:bc_mpo_berm::1.37,Product_Bundle,2023-09-20T16:02:00.705096Z
PSA,urn:esa:psa:bc_mpo_berm::1.38,Product_Bundle,2023-09-20T16:02:00.801165Z
PSA,urn:esa:psa:bc_mpo_berm::1.39,Product_Bundle,2023-09-20T16:02:01.205537Z
PSA,urn:esa:psa:bc_mpo_berm::1.4,Product_Bundle,2023-09-20T16:01:44.865442Z
PSA,urn:esa:psa:bc_mpo_berm::1.40,Product_Bundle,2023-09-20T16:02:01.509833Z
PSA,urn:esa:psa:bc_mpo_berm::1.41,Product_Bundle,2023-09-20T16:02:01.625827Z
PSA,urn:esa:psa:bc_mpo_berm::1.42,Product_Bundle,2023-09-20T16:02:01.740369Z
PSA,urn:esa:psa:bc_mpo_berm::1.43,Product_Bundle,2023-09-20T16:02:01.808773Z
PSA,urn:esa:psa:bc_mpo_berm::1.44,Product_Bundle,2023-09-20T16:02:01.974257Z
PSA,urn:esa:psa:bc_mpo_berm::1.45,Product_Bundle,2023-09-20T16:02:02.293005Z
PSA,urn:esa:psa:bc_mpo_berm::1.46,Product_Bundle,2023-09-20T16:02:02.449441Z
PSA,urn:esa:psa:bc_mpo_berm::1.47,Product_Bundle,2023-09-20T16:02:03.122576Z
PSA,urn:esa:psa:bc_mpo_berm::1.48,Product_Bundle,2023-09-20T16:02:03.247727Z
PSA,urn:esa:psa:bc_mpo_berm::1.49,Product_Bundle,2023-09-20T16:02:03.364173Z
PSA,urn:esa:psa:bc_mpo_berm::1.5,Product_Bundle,2023-09-20T16:01:45.305932Z
PSA,urn:esa:psa:bc_mpo_berm::1.6,Product_Bundle,2023-09-20T16:01:48.656826Z
PSA,urn:esa:psa:bc_mpo_berm::1.7,Product_Bundle,2023-09-20T16:01:54.976228Z
PSA,urn:esa:psa:bc_mpo_berm::1.8,Product_Bundle,2023-09-20T16:01:55.311613Z
PSA,urn:esa:psa:bc_mpo_berm::1.9,Product_Bundle,2023-09-20T16:01:55.397433Z
PSA,urn:esa:psa:bc_mpo_berm::10.0,Product_Bundle,2023-09-20T16:02:16.277864Z
PSA,urn:esa:psa:bc_mpo_berm::10.1,Product_Bundle,2023-09-20T16:02:16.529076Z
PSA,urn:esa:psa:bc_mpo_berm::10.2,Product_Bundle,2023-09-20T16:02:16.656187Z
PSA,urn:esa:psa:bc_mpo_berm::10.3,Product_Bundle,2023-09-20T16:02:16.711805Z
